Country,Clicks,Impressions,CTR,Position
India,14,712,1.97%,23.9
United States,2,332,0.6%,21.99
United Kingdom,1,55,1.82%,46.44
Saudi Arabia,1,5,20%,11.8
Bangladesh,0,55,0%,51.15
Australia,0,42,0%,52.62
Canada,0,23,0%,28.17
Brazil,0,11,0%,16.45
Vietnam,0,9,0%,31.89
Mexico,0,8,0%,25.38
Argentina,0,7,0%,23.86
Indonesia,0,7,0%,26
United Arab Emirates,0,7,0%,57.71
Pakistan,0,6,0%,31.33
Germany,0,4,0%,6.25
Colombia,0,4,0%,16
South Africa,0,4,0%,20.25
Ireland,0,4,0%,33
Iraq,0,4,0%,35.75
South Korea,0,3,0%,5
Spain,0,3,0%,8.67
Peru,0,3,0%,17
Russia,0,3,0%,29.67
New Zealand,0,3,0%,35
Morocco,0,3,0%,39.33
Ecuador,0,3,0%,42
Turkey,0,3,0%,73
Belgium,0,2,0%,3
Japan,0,2,0%,4.5
Qatar,0,2,0%,6
Switzerland,0,2,0%,7.5
Italy,0,2,0%,12.5
Sri Lanka,0,2,0%,16.5
Bolivia,0,2,0%,34
Malaysia,0,2,0%,41
Algeria,0,2,0%,44
Montenegro,0,1,0%,1
Singapore,0,1,0%,2
France,0,1,0%,3
Netherlands,0,1,0%,3
Oman,0,1,0%,4
Portugal,0,1,0%,4
Hungary,0,1,0%,5
Costa Rica,0,1,0%,7
Norway,0,1,0%,7
Hong Kong,0,1,0%,8
Mauritius,0,1,0%,8
Czechia,0,1,0%,10
Finland,0,1,0%,10
Honduras,0,1,0%,10
Tanzania,0,1,0%,10
Austria,0,1,0%,14
Paraguay,0,1,0%,15
Dominican Republic,0,1,0%,17
Uruguay,0,1,0%,23
Nepal,0,1,0%,34
Philippines,0,1,0%,38
Jamaica,0,1,0%,42
Egypt,0,1,0%,46
Rwanda,0,1,0%,48
Kazakhstan,0,1,0%,55
