Date,Clicks,Impressions,CTR,Position
2026-04-17,1,17,5.88%,23.8
2026-04-18,0,14,0%,18.4
2026-04-19,0,8,0%,12.6
2026-04-20,0,12,0%,27.8
2026-04-21,0,11,0%,27.9
2026-04-22,0,15,0%,7.9
2026-04-23,0,11,0%,13.4
2026-04-24,0,21,0%,12.4
2026-04-25,0,21,0%,11.8
2026-04-26,0,11,0%,18
2026-04-27,0,23,0%,10.9
2026-04-28,0,13,0%,16.6
2026-04-29,0,10,0%,10.4
2026-04-30,0,8,0%,9.2
2026-05-01,0,11,0%,17.3
2026-05-02,0,12,0%,8
2026-05-03,0,8,0%,7.5
2026-05-04,1,23,4.35%,11.9
2026-05-05,0,12,0%,21.5
2026-05-06,0,10,0%,17.5
2026-05-07,0,10,0%,28.8
2026-05-08,0,6,0%,10
2026-05-09,0,11,0%,15.9
2026-05-10,0,7,0%,18.7
2026-05-11,0,9,0%,18.3
2026-05-12,1,6,16.67%,36.7
2026-05-13,0,13,0%,26.5
2026-05-14,0,6,0%,25.7
2026-05-15,0,7,0%,21.3
2026-05-16,0,9,0%,26.7
2026-05-17,0,14,0%,24.6
2026-05-18,0,9,0%,24.9
2026-05-19,0,3,0%,5.3
2026-05-20,1,19,5.26%,37.8
2026-05-21,0,9,0%,40.3
2026-05-22,0,17,0%,38.8
2026-05-23,0,10,0%,23
2026-05-24,0,18,0%,32.7
2026-05-25,0,16,0%,29.5
2026-05-26,1,7,14.29%,15.3
2026-05-27,0,11,0%,18.4
2026-05-28,0,5,0%,37.4
2026-05-29,0,9,0%,32.8
2026-05-30,0,20,0%,37.7
2026-05-31,0,21,0%,38.5
2026-06-01,0,21,0%,27.3
2026-06-02,0,14,0%,24.6
2026-06-03,0,16,0%,25.8
2026-06-04,0,5,0%,44
2026-06-05,0,12,0%,47.6
2026-06-06,0,10,0%,45.6
2026-06-07,0,8,0%,14
2026-06-08,1,23,4.35%,24.6
2026-06-09,0,12,0%,45.2
2026-06-10,0,13,0%,36.6
2026-06-11,0,15,0%,29.7
2026-06-12,1,12,8.33%,24.8
2026-06-13,0,13,0%,41.6
2026-06-14,0,14,0%,15.3
2026-06-15,0,22,0%,30.7
2026-06-16,0,15,0%,48.8
2026-06-17,0,18,0%,30.2
2026-06-18,0,14,0%,26.7
2026-06-19,3,27,11.11%,22.3
2026-06-20,1,13,7.69%,29.8
2026-06-21,1,19,5.26%,22.7
2026-06-22,0,23,0%,41.1
2026-06-23,1,29,3.45%,35.9
2026-06-24,0,15,0%,30.2
2026-06-25,0,18,0%,29.7
2026-06-26,2,24,8.33%,22.9
2026-06-27,1,16,6.25%,17.6
2026-06-28,0,20,0%,24.4
2026-06-29,1,16,6.25%,18.3
2026-06-30,0,10,0%,34
2026-07-01,0,11,0%,29.9
2026-07-02,1,14,7.14%,23.3
2026-07-03,0,16,0%,22.1
2026-07-04,0,23,0%,32
2026-07-05,0,14,0%,16.9
2026-07-06,0,15,0%,29.9
2026-07-07,0,22,0%,32.7
2026-07-08,0,13,0%,12
2026-07-09,0,18,0%,29.3
2026-07-10,0,14,0%,36.6
2026-07-11,0,32,0%,30.8
2026-07-12,0,23,0%,18.7
2026-07-13,0,31,0%,28.6
2026-07-14,0,61,0%,39.6
2026-07-15,2,35,5.71%,30.9
2026-07-16,0,21,0%,33.1
