Country,Clicks,Impressions,CTR,Position
India,15,732,2.05%,23.9
United States,2,329,0.61%,22.88
United Kingdom,1,50,2%,41.8
Saudi Arabia,1,7,14.29%,22.14
Germany,1,5,20%,6.2
Bangladesh,0,55,0%,51.15
Australia,0,47,0%,51.83
Canada,0,25,0%,31.6
Brazil,0,12,0%,19.25
Vietnam,0,10,0%,31.7
Mexico,0,9,0%,27.44
Argentina,0,7,0%,23.86
Indonesia,0,7,0%,30.71
United Arab Emirates,0,7,0%,57.71
Pakistan,0,6,0%,31.33
Colombia,0,4,0%,16
South Africa,0,4,0%,20.25
Iraq,0,4,0%,35.75
Philippines,0,4,0%,41.5
Turkey,0,4,0%,68.25
South Korea,0,3,0%,5
Spain,0,3,0%,8.67
Peru,0,3,0%,17
Russia,0,3,0%,29.67
New Zealand,0,3,0%,35
Morocco,0,3,0%,39.33
Ecuador,0,3,0%,42
Belgium,0,2,0%,3
Japan,0,2,0%,4.5
Qatar,0,2,0%,6
Switzerland,0,2,0%,7.5
Finland,0,2,0%,8.5
Italy,0,2,0%,12.5
Sri Lanka,0,2,0%,16.5
Portugal,0,2,0%,27
Bolivia,0,2,0%,34
Malaysia,0,2,0%,41
Algeria,0,2,0%,44
Ireland,0,2,0%,57.5
Montenegro,0,1,0%,1
Singapore,0,1,0%,2
Netherlands,0,1,0%,3
Oman,0,1,0%,4
Hungary,0,1,0%,5
Norway,0,1,0%,7
Hong Kong,0,1,0%,8
Mauritius,0,1,0%,8
Czechia,0,1,0%,10
Honduras,0,1,0%,10
Tanzania,0,1,0%,10
Austria,0,1,0%,14
Paraguay,0,1,0%,15
Dominican Republic,0,1,0%,17
Uruguay,0,1,0%,23
Nepal,0,1,0%,34
Jamaica,0,1,0%,42
Egypt,0,1,0%,46
Rwanda,0,1,0%,48
Kazakhstan,0,1,0%,55
